Year-,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,
PUSAD,834.9,601.3,72,834.9,569.7,68.2,834.9,685,82,834.9,1386,166,834.9,981.3,117.5,834.9,1838.3,220.1,834.9,481,57.6,834.9,942.1,112.8,834.9,729.3,87.3,834.9,1269.5,152,834.9,1357.9,162.6,834.9,1003,120.1,834.9,893.7,107,834.9,1179.9,141.3,834.9,1205.9,144.4,834.9,628.2,75.2,834.9,1032.8,123.7,834.9,1325.1,158.7,834.9,734.8,88,790.9,477.74,60.4,790.9,1066.7,134.87,790.9,1069.6,135.24,790.9,669.5,84.65,790.9,828.52,104.75,790.9,708.19,558.1,883.95,1320.4,149.37,790.9,832,105.88,790.9,952,95.98,790.9,1147,115.64,790.9,521,65.87,790.9,715,90.4,790.9,1139,144.01
UMARKHED,904.3,900.3,99.5,904.3,848.5,93.8,904.3,460.3,50.9,904.3,1088.5,120.3,904.3,858.6,94.9,904.3,495.7,54.8,904.3,0,0,904.3,901.8,99.7,904.3,757.3,83.7,904.3,877.7,97,904.3,1499.1,165.7,904.3,1075.6,118.9,904.3,1108.6,122.5,904.3,689.3,76.2,904.3,541.8,59.9,904.3,477,52.7,904.3,639.6,70.7,904.3,647.4,71.5,904.3,452.2,50,906.2,357.22,39.41,906.2,669.5,73.88,906.2,857,94.57,906.2,681.98,75.25,906.2,542.06,59.81,906.2,811.43,550.1,1012.81,797,78.69,906.2,821,91.19,906.2,729,64.14,906.2,1707,150.2,906.2,589,64.99,906.2,532,58.7,906.2,920,101.52
MAHAGAON,904.3,749,82.8,904.3,919.5,101.6,904.3,709.4,78.4,904.3,1879.2,207.8,904.3,1465.2,162,904.3,2055,227.2,904.3,580.3,64.1,904.3,836.1,92.4,904.3,0,0,904.3,1202,132.9,904.3,1081,119.5,904.3,864.3,95.5,904.3,846.8,93.6,904.3,1235,136.5,904.3,982.4,108.6,904.3,691.1,76.4,904.3,1008,111.4,904.3,1058.9,117.1,904.3,778,86,858.4,450.78,52.51,858.4,1309.6,152.56,858.4,1011.8,117.87,858.4,783.5,91.27,858.4,685.61,79.87,858.4,768.63,574,959.39,1110,115.69,858.4,803.92,94.26,858.4,837,77.75,858.4,1599,148.53,858.4,584,68.03,858.4,667,77.7,858.4,1260,146.78
KELAPUR,1100.5,755.7,68.6,1100.5,1824.5,165.7,1100.5,580.2,52.7,1100.5,1458.8,132.5,1100.5,898.8,81.6,1100.5,1105.5,100.4,1100.5,687.2,62.4,1100.5,2198.4,199.7,1100.5,1073,97.5,1100.5,1040.1,94.5,1100.5,1098,99.7,1100.5,800,72.6,1100.5,741.2,67.3,1100.5,1101.3,100,1100.5,1181,107.3,1100.5,991,90,1100.5,1061,96.4,1100.5,1053,95.6,1100.5,742,67.4,1002.3,830,82.8,1002.3,1052.3,104.99,1002.3,967.9,96.57,1002.3,989.02,98.67,1002.3,588.13,58.67,1002.3,897.48,654.55,1120.22,1192.4,106.44,1002.3,924.3,92.82,1002.3,1193,94.9,1002.3,1679,133.57,1002.3,821,81.91,1002.3,942,93.98,1002.3,910,90.79
GHATANJI,1100.5,991.3,90,1100.5,949,86.2,1100.5,464.3,42.2,1100.5,1073,97.5,1100.5,987,89.6,1100.5,1612,146.4,1100.5,645,58.6,1100.5,1087,98.7,1100.5,738,67,1100.5,1006.5,91.4,1100.5,1043.4,94.8,1100.5,958,87,1100.5,767,69.7,1100.5,979.6,89,1100.5,1049,95.3,1100.5,1025,93.1,1100.5,931,84.6,1100.5,1114,101.2,1100.5,795,72.2,1031.2,438,42.47,1031.2,1149,111.42,1031.2,1293,125.39,1031.2,1054,102.21,1031.2,673,65.26,1031.2,923.36,523.2,1152.52,1574,136.57,1031.2,869.1,84.83,1031.2,1007,77.86,1031.2,1551,119.93,1031.2,705,68.36,1031.2,675,65.45,1031.2,845,81.94
RALEGAON,1100.5,470.1,42.7,1100.5,1053.2,95.7,1100.5,594.3,54,1100.5,1007,91.5,1100.5,845.4,76.8,1100.5,1333.9,121.2,1100.5,615.7,55.9,1100.5,1100,99.9,1100.5,857.2,77.9,1100.5,1218,110.6,1100.5,1143.6,103.9,1100.5,857,77.8,1100.5,822,74.6,1100.5,915.8,83.2,1100.5,952,86.5,1100.5,1195,108.5,1100.5,1099,99.8,1100.5,1044,94.8,1100.5,546,49.6,1031.2,524.03,50.81,1031.2,1742,168.93,1031.2,1304.1,126.46,1031.2,1128,109.38,1031.2,910.2,88.26,1031.2,923.36,748.2,1152.52,1446,125.46,1031.2,876,85.5,1031.2,785.05,60.7,1031.2,1152,89.07,1031.2,627,60.8,1031.2,704,68.26,1031.2,755,73.21
WANI,1040.5,0,0,1040.5,1257.8,120.8,1040.5,553.9,53.2,1040.5,971.2,93.3,1040.5,726.9,69.8,1040.5,1048.3,100.7,1040.5,886,85.1,1040.5,1148.9,110.4,1040.5,1067.9,102.6,1040.5,1095.5,105.2,1040.5,909.4,87.4,1040.5,677.2,65,1040.5,931,89.4,1040.5,914,87.8,1040.5,1055,101.3,1040.5,919,88.3,1040.5,627.3,60.2,1040.5,658,63.2,1040.5,632.9,60.8,948.2,592.25,62.46,948.2,1400.6,147.71,948.2,1148.9,121.17,948.2,990,104.4,948.2,767.8,80.97,948.2,849.04,537,1059.75,1479,139.56,948.2,952,101.06,948.2,1053.74,88.61,948.2,1653,139,948.2,867,91.43,948.2,976,102.93,948.2,1239,130.66
MAREGAON,1040.5,963.6,92.6,1040.5,1374.9,132.1,1040.5,922.1,88.6,1040.5,1177,113.1,1040.5,625.5,60.1,1040.5,1134.6,109,1040.5,549,52.7,1040.5,651.8,62.6,1040.5,1182.9,113.6,1040.5,1522.7,146.3,1040.5,1638.4,157.4,1040.5,1211.7,116.4,1040.5,1129.4,108.5,1040.5,1191.5,114.5,1040.5,772.4,74.2,1040.5,671,64.4,1040.5,681.5,65.5,1040.5,570,54.7,1040.5,496,47.6,983.6,327.04,33.24,983.6,882.5,89.72,983.6,1214,123.42,983.6,1206,122.61,983.6,1190.18,121,983.6,880.74,560,1099.32,1659,150.91,983.6,1156,118.3,983.6,859.6,69.68,983.6,1402.7,113.71,983.6,989.5,100.59,983.6,763,77.57,983.6,733,74.52
ZARIJAMNI,1040.5,0,0,1040.5,0,0,1040.5,0,0,1040.5,0,0,1040.5,0,0,1040.5,0,0,1040.5,0,0,1040.5,0,0,1040.5,675,64.8,1040.5,1080,103.8,1040.5,1169,112.3,1040.5,775,74.4,1040.5,986.8,94.8,1040.5,1055.6,101.4,1040.5,577,55.4,1040.5,414.4,39.8,1040.5,525,50.4,1040.5,573,55,1040.5,336,32.2,983.6,323.51,32.89,983.6,653.2,66.41,983.6,738.8,75.11,983.6,525,53.37,983.6,559.4,56.87,983.6,880.74,374,1099.32,867,78.86,983.6,560,57.3,983.6,649.03,52.61,983.6,1229.8,99.69,983.6,885,89.97,983.6,682,69.33,983.6,814,82.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average of years-,964.74375,475.06875,48.63125,964.74375,778.13125,77.55625,964.74375,510.7125,53.21875,964.74375,954.6,99.68125,964.74375,711.225,73.95,964.74375,1147.69375,120.4875,964.74375,506.38125,51.80625,964.74375,915.2,94.36875,964.74375,715.43125,73.8875,964.74375,1087.2375,113.56875,964.74375,1131.71875,118.1625,964.74375,878.51875,91.70625,964.74375,815.45625,85,964.74375,915.29375,94.7875,964.74375,900.875,93.58125,964.74375,779.2375,80.14375,964.74375,859.0125,89.25,964.74375,889.94375,92.95625,964.74375,520.04375,53.6,911.3375,458.084375,50.20375,911.3375,962.35625,112.03125,911.3375,1068.5,117.86375,911.3375,844.035,92.1425,911.3375,633.235,69.43125,911.3375,816.0325,493.734375,1018.55375,1146.7725,112.775,911.3375,815.85,90.67125,911.3375,905.846875,79.959375,911.3375,1366.36625,120.45625,911.3375,715.14,78.5125,911.3375,707.075,78.199375,911.3375,903.1875,100.5175
